,epoch,time,loss_heat_transfer,ts_pde_loss,ts_bdr_loss
76,76,234.01015639305115,2459528.0828653947,0.05753205871224054,2306349.5
77,77,236.9602665901184,2459528.0828653947,0.08064965949961334,2524114.5
78,78,239.90638732910156,2459528.0828653947,0.05791810706068645,2283702.5
79,79,242.77471661567688,2459528.0828653947,0.08321538483141921,2516292.5
80,80,245.70188808441162,2459528.0828653947,0.057158258437993936,2318113.0
81,81,248.65997672080994,2459528.0828653947,0.08147499787446577,2610284.0
82,82,251.5432653427124,2459528.0828653947,0.054915495406021364,2297719.5
83,83,254.51032996177673,2459528.0828653947,0.08669208973878995,2564449.0
84,84,257.47938990592957,2459528.0828653947,0.05584779707714915,2302259.0
85,85,260.4474518299103,2459528.0828653947,0.08128635789034888,2515813.0
86,86,263.37761545181274,2459528.0828653947,0.06021141107339645,2306081.5
